qid,term,topic,subtopic,difficulty,questiontype,parentid,orderinparent,questiontext,optiona,optionb,optionc,optiond,correctanswer,hint,detailedsolution,imagelocation,tags,enginetypesim,modesim,filepathsim,filenamesim
SCI-P7-T1-00702,T1,Musculo-Skeletal System,disorders_and_first_aid,E,MCQ,null,null,Which type of fracture involves a bone breaking but remaining inside the flesh?,Compound fracture,Simple fracture,Greenstick fracture,Comminuted fracture,Option_B,It is also called a 'closed' fracture.,A simple fracture occurs when the bone breaks but the skin is not pierced.,,"[""P7"",""Science"",""Simple Fracture""]",,,,
SCI-P7-T1-00703,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,What defines a compound fracture?,The bone is broken into many pieces,The bone breaks and comes out through the skin,The bone only cracks,It only happens in children,Option_B,It is an 'open' fracture.,A compound fracture is when the broken bone tears the flesh and is visible outside.,,"[""P7"",""Science"",""Compound Fracture""]",,,,
SCI-P7-T1-00704,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,Which fracture is most common in young children because their bones are soft?,Simple fracture,Compound fracture,Greenstick fracture,Comminuted fracture,Option_C,"Think of a young, flexible tree branch.",A greenstick fracture is when the bone bends and cracks but does not break completely.,,"[""P7"",""Science"",""Greenstick Fracture""]",,,,
SCI-P7-T1-00705,T1,Musculo-Skeletal System,disorders_and_first_aid,H,MCQ,null,null,What happens in a comminuted fracture?,The bone breaks into several parts,The bone is only bruised,The skin is not broken,It only happens in the skull,Option_A,Think of a bone being shattered.,A comminuted fracture is a type of injury where the bone is broken into several pieces.,,"[""P7"",""Science"",""Comminuted Fracture""]",,,,
SCI-P7-T1-00706,T1,Musculo-Skeletal System,disorders_and_first_aid,E,MCQ,null,null,What is a sprain?,A broken bone,An injury to a ligament,A torn muscle,A skin cut,Option_B,This injury happens at the joint.,A sprain is a torn or overstretched ligament.,,"[""P7"",""Science"",""Sprain""]",,,,
SCI-P7-T1-00707,T1,Musculo-Skeletal System,disorders_and_first_aid,E,MCQ,null,null,What is a strain?,A broken bone,A torn or overstretched muscle,A joint displacement,A disease caused by a virus,Option_B,Think of 'straining' your muscles.,A strain is an injury specifically to a muscle or its tendon.,,"[""P7"",""Science"",""Strain""]",,,,
SCI-P7-T1-00708,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,What occurs during a dislocation?,A bone is shattered,Bones forming a joint are displaced from their normal position,The skin is torn,Muscle turns into fat,Option_B,The bones 'pop out' of the joint.,Dislocation is the displacement of bones at a joint.,,"[""P7"",""Science"",""Dislocation""]",,,,
SCI-P7-T1-00709,T1,Musculo-Skeletal System,disorders_and_first_aid,E,MCQ,null,null,What is the first thing you should do when giving first aid for a fracture?,Make the person run,Remove any object that caused the fracture and stop bleeding,Give the person food,Twist the bone back,Option_B,Safety and stopping blood loss come first.,Initial first aid involves removing hazards and controlling any bleeding.,,"[""P7"",""Science"",""First Aid""]",,,,
SCI-P7-T1-00710,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,What is the purpose of a splint in first aid?,To clean the wound,To keep the broken bones in position and prevent movement,To make the bone grow faster,To stop the person from crying,Option_B,It acts as a temporary support.,A splint is used to immobilize a fractured limb to prevent further injury.,,"[""P7"",""Science"",""Splint""]",,,,
SCI-P7-T1-00711,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,What should be used to support a broken arm?,A heavy stone,An arm sling tied around the neck,A pair of shoes,A tight belt,Option_B,It hangs from the neck.,An arm sling is used to support and rest a broken arm.,,"[""P7"",""Science"",""Sling""]",,,,
SCI-P7-T1-00712,T1,Musculo-Skeletal System,disorders_and_first_aid,H,MCQ,null,null,What does the acronym RICE stand for in treating dislocations or sprains?,"Run, Ice, Carry, Eat","Rest, Ice, Compress, Elevate","Raise, Ice, Compress, Elevate","Read, Ice, Cook, Exit",Option_C,Check the Tekule notes page 23.,"RICE stands for Raise the injury, apply Ice, Compress with a bandage, and Elevate.",,"[""P7"",""Science"",""RICE""]",,,,
SCI-P7-T1-00713,T1,Musculo-Skeletal System,disorders_and_first_aid,E,MCQ,null,null,Which of these is a sign of a fracture?,Severe pain and tenderness,Increased height,Feeling very hungry,Change in eye color,Option_A,Injured bones hurt a lot.,Fractures are characterized by intense pain and inability to move the part.,,"[""P7"",""Science"",""Symptoms""]",,,,
SCI-P7-T1-00714,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,"If a limb appears 'crooked' or 'shortened' after a fall, it is likely a?",Sprain,Strain,Fracture,Cramp,Option_C,The shape of the bone has changed.,Deformity or shortening of a limb is a common sign of a bone break.,,"[""P7"",""Science"",""Fracture""]",,,,
SCI-P7-T1-00715,T1,Musculo-Skeletal System,disorders_and_first_aid,H,MCQ,null,null,Why should you avoid tampering with a dislocated joint?,It might make the person laugh,It can cause further damage to nerves and blood vessels,The joint might disappear,It is against the law,Option_B,Only a doctor should put a bone back.,Tampering can worsen the injury; professional medical help is required.,,"[""P7"",""Science"",""Dislocation""]",,,,
SCI-P7-T1-00716,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,What is used to keep a fractured bone from moving further?,A bandage,A splint,A wet cloth,A hat,Option_B,It is a stiff support.,A splint prevents the ends of broken bones from moving and causing more pain.,,"[""P7"",""Science"",""First Aid""]",,,,
SCI-P7-T1-00717,T1,Musculo-Skeletal System,disorders_and_first_aid,E,MCQ,null,null,Knock-knees and bow legs are examples of?,Infectious diseases,Skeletal disorders,Muscular types,Healthy bones,Option_B,They are abnormal bone shapes.,These are disorders where the legs grow in curved or bent shapes.,,"[""P7"",""Science"",""Disorders""]",,,,
SCI-P7-T1-00718,T1,Musculo-Skeletal System,disorders_and_first_aid,H,MCQ,null,null,What is the main difference between a sprain and a strain?,"Sprain is bone, Strain is skin","Sprain is ligament, Strain is muscle","Sprain is muscle, Strain is ligament",There is no difference,Option_B,Think 'Ligament = Sprain'.,A sprain affects the ligaments at a joint; a strain affects the muscles/tendons.,,"[""P7"",""Science"",""Injuries""]",,,,
SCI-P7-T1-00719,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,Sudden swelling and bruising at a joint after a twist usually indicates?,A simple fracture,A sprain,Leprosy,Rickets,Option_B,Typical after 'rolling' an ankle.,Swelling and bruising are classic signs of a sprained ligament.,,"[""P7"",""Science"",""Sprain""]",,,,
SCI-P7-T1-00720,T1,Musculo-Skeletal System,disorders_and_first_aid,H,MCQ,null,null,"In case of a compound fracture, why are antiseptics used?",To make the person sleep,To prevent infection of the open wound,To stop the pain,To glue the bone,Option_B,Open wounds attract germs.,Antiseptics kill germs and prevent infections in open fractures.,,"[""P7"",""Science"",""First Aid""]",,,,
SCI-P7-T1-00721,T1,Musculo-Skeletal System,disorders_and_first_aid,E,MCQ,null,null,What is a club foot?,A very strong foot,An abnormal foot shape present at birth,A foot used for sports,A foot with no bones,Option_B,It is a skeletal disorder.,Club foot is a disorder where the foot is twisted out of its normal shape.,,"[""P7"",""Science"",""Disorders""]",,,,
SCI-P7-T1-00722,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,Which tool is used to carry a person with a broken leg to the hospital?,A bicycle,A stretcher,A chair,A school bag,Option_B,It keeps the body flat and still.,A stretcher is the safest way to transport a victim with a major fracture.,,"[""P7"",""Science"",""First Aid""]",,,,
SCI-P7-T1-00723,T1,Musculo-Skeletal System,disorders_and_first_aid,H,MCQ,null,null,'Elevation' in the RICE method helps to?,Increase blood flow,Reduce swelling,Break the bone further,Make the person taller,Option_B,Lifting the limb above the heart.,Elevating the injured part helps drain fluid and reduce swelling.,,"[""P7"",""Science"",""RICE""]",,,,
SCI-P7-T1-00724,T1,Musculo-Skeletal System,disorders_and_first_aid,E,MCQ,null,null,A person with 'bow legs' has legs that curve?,Inwards,Outwards,Upwards,Backwards,Option_B,Think of the shape of a bow.,Bow legs curve outward at the knees.,,"[""P7"",""Science"",""Disorders""]",,,,
SCI-P7-T1-00725,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,Which first aid equipment is tied around the neck to support a broken wrist?,A splint,An arm sling,A stretcher,A bandage,Option_B,It cradles the arm.,An arm sling provides rest and support for wrist or arm injuries.,,"[""P7"",""Science"",""First Aid""]",,,,
SCI-P7-T1-00726,T1,Musculo-Skeletal System,disorders_and_first_aid,H,MCQ,null,null,What is a sign of a compound fracture that you won't see in a simple fracture?,Pain,Bleeding and bone pushing through skin,Swelling,Inability to move,Option_B,"One is 'open', one is 'closed'.",Only compound fractures involve an open wound with visible bone.,,"[""P7"",""Science"",""Fracture""]",,,,
SCI-P7-T1-00727,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,To 'compress' an injury means to?,Apply a firm bandage,Put ice on it,Rub it hard,Heat it up,Option_A,Applying pressure.,Compression involves using a bandage to provide support and limit swelling.,,"[""P7"",""Science"",""RICE""]",,,,
SCI-P7-T1-00728,T1,Musculo-Skeletal System,disorders_and_first_aid,H,MCQ,null,null,Why is ice applied to a sprained ankle?,To make it clean,To reduce pain and swelling,To help the bone grow,To warm the joint,Option_B,Cold narrows blood vessels.,Ice packs help manage the immediate pain and inflammation of a sprain.,,"[""P7"",""Science"",""First Aid""]",,,,
SCI-P7-T1-00729,T1,Musculo-Skeletal System,disorders_and_first_aid,E,MCQ,null,null,Which of these is a skeletal disorder?,Malaria,Knock-knees,Flu,Cough,Option_B,It affects the bones.,Knock-knees is a condition where the knees touch but ankles stay apart.,,"[""P7"",""Science"",""Disorders""]",,,,
SCI-P7-T1-00730,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,What is the first aid for a strain (muscle injury)?,Make the person run,Apply a cold compress or ice pack,Twist the muscle,Do heavy exercise,Option_B,Cold helps soothe muscles.,Applying ice helps treat the pain of a torn or overstretched muscle.,,"[""P7"",""Science"",""Strain""]",,,,
SCI-P7-T1-00731,T1,Musculo-Skeletal System,disorders_and_first_aid,H,MCQ,null,null,How can you identify a dislocation without an X-ray?,The joint looks visibly out of place,The person is sleeping,The person is coughing,The skin turns green,Option_A,It looks 'deformed'.,A dislocated joint will appear visibly deformed compared to the normal side.,,"[""P7"",""Science"",""Dislocation""]",,,,
SCI-P7-T1-00732,T1,Musculo-Skeletal System,disorders_and_first_aid,E,MCQ,null,null,"If someone breaks a leg, you should ______?",Tell them to walk it off,Keep them still and call for help,Pull the leg straight,Cover the whole body in salt,Option_B,Immobilization is key.,Movement can make a fracture worse; keep the patient still.,,"[""P7"",""Science"",""First Aid""]",,,,
SCI-P7-T1-00733,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,A 'grating' or 'grinding' sound when moving a limb after a fall suggests?,A sprain,A fracture,A healthy joint,A muscle cramp,Option_B,Bone ends rubbing together.,The sensation of bone ends rubbing is a specific sign of a fracture.,,"[""P7"",""Science"",""Fracture""]",,,,
SCI-P7-T1-00734,T1,Musculo-Skeletal System,disorders_and_first_aid,H,MCQ,null,null,Why is it important to 'give comfort and assurance' to an injured person?,To stop them from talking,To help reduce shock and keep them calm,To make the bone heal instantly,To find out their name,Option_B,Mental state affects physical recovery.,Calming the victim is a vital part of first aid to prevent shock.,,"[""P7"",""Science"",""First Aid""]",,,,
SCI-P7-T1-00735,T1,Musculo-Skeletal System,disorders_and_first_aid,E,MCQ,null,null,Which professional should treat all skeletal injuries?,A teacher,A doctor,A driver,A cook,Option_B,They are trained in medicine.,Always seek medical attention from a doctor for bone or joint injuries.,,"[""P7"",""Science"",""First Aid""]",,,,
SCI-P7-T1-00736,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,What is the common name for the displacement of bones at a joint?,Shattering,Dislocation,Moulting,Ossification,Option_B,The bones are 'dis-located'.,Dislocation occurs when bones are forced out of their natural socket.,,"[""P7"",""Science"",""Dislocation""]",,,,
SCI-P7-T1-00737,T1,Musculo-Skeletal System,disorders_and_first_aid,H,MCQ,null,null,"In the RICE method, what does 'C' stand for?",Clean,Compress,Carry,Cool,Option_B,Using a bandage for pressure.,Compression helps limit internal bleeding and swelling.,,"[""P7"",""Science"",""RICE""]",,,,
SCI-P7-T1-00738,T1,Musculo-Skeletal System,disorders_and_first_aid,E,MCQ,null,null,Can you see the bone in a simple fracture?,Yes,No,Only on Sundays,Always,Option_B,The skin remains intact.,"In a simple (closed) fracture, the bone stays inside the body.",,"[""P7"",""Science"",""Fracture""]",,,,
SCI-P7-T1-00739,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,A 'torn ligament' is another name for a?,Strain,Sprain,Fracture,Dislocation,Option_B,Affects the joint connector.,A sprain is specifically an injury to the ligaments.,,"[""P7"",""Science"",""Sprain""]",,,,
SCI-P7-T1-00740,T1,Musculo-Skeletal System,disorders_and_first_aid,H,MCQ,null,null,What should you do before applying a splint to a compound fracture?,Pull the bone back,Stop the bleeding and cover the wound,Nothing,Give the person a bath,Option_B,Wound care first.,Open wounds must be managed before immobilizing the limb.,,"[""P7"",""Science"",""First Aid""]",,,,
SCI-P7-T1-00741,T1,Musculo-Skeletal System,disorders_and_first_aid,E,MCQ,null,null,A fracture where the bone is shattered into many bits is ______?,Simple,Comminuted,Greenstick,Compound,Option_B,Think of many fragments.,Comminuted fractures involve the bone breaking into several parts.,,"[""P7"",""Science"",""Fracture""]",,,,
SCI-P7-T1-00742,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,What is the use of crutches?,To help an injured person move,To fix the bone,To make the person taller,To hit things,Option_A,Support for walking.,Crutches allow a victim with a leg injury to move without putting weight on it.,,"[""P7"",""Science"",""First Aid""]",,,,
SCI-P7-T1-00743,T1,Musculo-Skeletal System,disorders_and_first_aid,H,MCQ,null,null,Why are greenstick fractures common in children?,Because children play more,Because children's bones are more cartilaginous and soft,Because they have no muscles,Because they don't eat calcium,Option_B,Think about bone hardening (ossification).,"Children's bones haven't fully hardened, so they bend rather than snapping clean.",,"[""P7"",""Science"",""Fracture""]",,,,
SCI-P7-T1-00744,T1,Musculo-Skeletal System,disorders_and_first_aid,E,MCQ,null,null,What is the best way to carry a patient with a spinal injury?,On someone's back,On a firm stretcher,In a sitting position,Carrying by the arms,Option_B,The spine must be kept perfectly straight.,"Spinal injuries require a firm, flat surface for transport to prevent paralysis.",,"[""P7"",""Science"",""First Aid""]",,,,
SCI-P7-T1-00745,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,Muscle cramps are considered a ______ system disorder?,Skeletal,Muscular,Nervous,Circulatory,Option_B,It affects the flesh.,"Cramps are painful, involuntary contractions of the muscular system.",,"[""P7"",""Science"",""Disorders""]",,,,
SCI-P7-T1-00746,T1,Musculo-Skeletal System,disorders_and_first_aid,H,MCQ,null,null,What is a likely result of not immobilizing a fracture?,The bone heals faster,Internal bleeding and further tissue damage,The person becomes stronger,Nothing happens,Option_B,Moving broken bones is dangerous.,Sharp bone ends can cut muscles and blood vessels if not kept still.,,"[""P7"",""Science"",""First Aid""]",,,,
SCI-P7-T1-00747,T1,Musculo-Skeletal System,disorders_and_first_aid,E,MCQ,null,null,What does 'Elevate' mean in the treatment of a sprain?,Lifting the limb up,Cutting the limb,Rubbing the limb,Lowering the limb,Option_A,Keeping it high.,Elevation means raising the injured part above heart level.,,"[""P7"",""Science"",""RICE""]",,,,
SCI-P7-T1-00748,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,Dislocation is common in which parts of the body?,Skull,Shoulders and fingers,Ribs,Teeth,Option_B,Movable joints are most at risk.,Movable joints like shoulders and fingers are prone to being forced out of place.,,"[""P7"",""Science"",""Dislocation""]",,,,
SCI-P7-T1-00749,T1,Musculo-Skeletal System,disorders_and_first_aid,H,MCQ,null,null,"In case of a sprained wrist, what is applied for support?",A heavy boot,An arm sling,A hat,A spoon,Option_B,Think of immobilizing the arm.,The arm sling keeps the wrist supported and still.,,"[""P7"",""Science"",""First Aid""]",,,,
SCI-P7-T1-00750,T1,Musculo-Skeletal System,disorders_and_first_aid,E,MCQ,null,null,What happens when a bone is displaced?,It is a fracture,It is a dislocation,It is a sprain,It is a growth spurt,Option_B,The bone has moved from its home.,Displacement of bones at a joint defines a dislocation.,,"[""P7"",""Science"",""Dislocation""]",,,,
SCI-P7-T1-00751,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,"Which of these symptoms is shared by fractures, sprains, and dislocations?",Bleeding through the skin,Difficulty in moving the affected part,Bone pushing out,Growth of hair,Option_B,Injury prevents normal use.,Pain and restricted movement are common to all major musculoskeletal injuries.,,"[""P7"",""Science"",""Symptoms""]",,,,
SCI-P7-T1-00752,T1,Musculo-Skeletal System,disorders_and_first_aid,H,MCQ,null,null,What does 'Rest' in RICE help achieve?,Makes the person sleepy,Prevents further injury to the damaged tissue,Produces more red blood cells,Increases pain,Option_B,Stopping activity allows healing to start.,Resting prevents worsening the injury by stopping movement of the affected area.,,"[""P7"",""Science"",""RICE""]",,,,
SCI-P7-T1-00753,T1,Musculo-Skeletal System,disorders_and_first_aid,E,MCQ,null,null,Which type of fracture involves a shattered bone?,Simple,Greenstick,Comminuted,Compound,Option_C,Think of 'crushed'.,A comminuted fracture is when the bone is broken into several fragments.,,"[""P7"",""Science"",""Fracture""]",,,,
SCI-P7-T1-00754,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,Tying an arm sling around the neck provides ______ for a broken arm?,Heat,Rest and support,Oxygen,Food,Option_B,It holds the arm for you.,The sling supports the weight of the arm and prevents it from moving.,,"[""P7"",""Science"",""First Aid""]",,,,
SCI-P7-T1-00755,T1,Musculo-Skeletal System,disorders_and_first_aid,H,MCQ,null,null,What should you NOT do when someone has a compound fracture?,Control the bleeding,Try to push the bone back inside,Cover the wound with a clean cloth,Keep the patient warm,Option_B,This is very dangerous.,Never attempt to reset a bone yourself; wait for a medical professional.,,"[""P7"",""Science"",""First Aid""]",,,,
SCI-P7-T1-00756,T1,Musculo-Skeletal System,disorders_and_first_aid,E,MCQ,null,null,Bruising is a sign of?,Internal bleeding near the injury,Bone growth,A healthy muscle,Skin infection,Option_A,Discoloration under the skin.,Bruising happens when blood vessels under the skin break due to injury.,,"[""P7"",""Science"",""Symptoms""]",,,,
SCI-P7-T1-00757,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,Which type of fracture is also called an 'Open Fracture'?,Simple,Compound,Greenstick,Comminuted,Option_B,The skin is open.,A compound fracture is 'open' because the skin is pierced.,,"[""P7"",""Science"",""Fracture""]",,,,
SCI-P7-T1-00758,T1,Musculo-Skeletal System,disorders_and_first_aid,H,MCQ,null,null,How does ice help a dislocated joint?,It fixes the bone,It numbs the pain and limits swelling,It makes the joint permanent,It makes it easier to pull,Option_B,Cold is a natural painkiller.,"Cold reduces blood flow to the area, minimizing swelling and pain.",,"[""P7"",""Science"",""First Aid""]",,,,
SCI-P7-T1-00759,T1,Musculo-Skeletal System,disorders_and_first_aid,E,MCQ,null,null,Which of these is the correct first aid tool for a leg break?,A hat,A splint,A neck tie,A shoe lace,Option_B,It keeps the leg straight.,A splint is necessary to keep a broken leg stable during transport.,,"[""P7"",""Science"",""First Aid""]",,,,
SCI-P7-T1-00760,T1,Musculo-Skeletal System,disorders_and_first_aid,M,MCQ,null,null,Severe pain at a joint with visible deformity is a sign of?,A headache,A dislocation,Healthy growth,A skin rash,Option_B,The bone looks 'wrong'.,Deformity at a joint is the primary sign that bones have moved out of place.,,"[""P7"",""Science"",""Dislocation""]",,,,
SCI-P7-T1-00761,T1,Musculo-Skeletal System,bone_diseases,E,MCQ,null,null,Which of the following is a disease caused by a virus?,Leprosy,Rickets,Polio,Tetanus,Option_C,It can cause paralysis of the limbs.,Polio (Poliomyelitis) is caused by the polio virus.,,"[""P7"",""Science"",""Polio""]",,,,
SCI-P7-T1-00762,T1,Musculo-Skeletal System,bone_diseases,E,MCQ,null,null,What is the cause of Rickets in children?,A virus,Lack of Vitamin D and Calcium,Bacteria,A bone fracture,Option_B,Think about a nutrient deficiency.,"Rickets is a deficiency disease caused by a lack of Vitamin D, Calcium, or Phosphorus.",,"[""P7"",""Science"",""Rickets""]",,,,
SCI-P7-T1-00763,T1,Musculo-Skeletal System,bone_diseases,E,MCQ,null,null,Which disease is caused by bacteria and leads to loss of feeling in the skin?,Polio,Leprosy,Scurvy,Arthritis,Option_B,It also causes shortening of fingers and toes.,"Leprosy is a bacterial disease that affects the skin, nerves, and bones.",,"[""P7"",""Science"",""Leprosy""]",,,,
SCI-P7-T1-00764,T1,Musculo-Skeletal System,bone_diseases,M,MCQ,null,null,How is Polio spread from one person to another?,Through air,Through drinking contaminated water,By touching a bone,Through mosquito bites,Option_B,Think about hygiene and germs.,Polio germs are spread through drinking water contaminated with infected faeces.,,"[""P7"",""Science"",""Polio""]",,,,
SCI-P7-T1-00765,T1,Musculo-Skeletal System,bone_diseases,M,MCQ,null,null,A child with 'bowlegs' is likely suffering from which disease?,Tetanus,Tuberculosis,Rickets,Cancer,Option_C,This disease makes bones weak and soft.,Rickets causes leg bones to grow in curved shapes like bowlegs or knock-knees.,,"[""P7"",""Science"",""Rickets""]",,,,
SCI-P7-T1-00766,T1,Musculo-Skeletal System,bone_diseases,E,MCQ,null,null,Which vaccine is given to children to prevent Polio?,BCG vaccine,Polio vaccine,DPT vaccine,Measles vaccine,Option_B,The name of the vaccine matches the disease.,Children are immunized against Polio using the polio vaccine (usually drops in the mouth).,,"[""P7"",""Science"",""Vaccines""]",,,,
SCI-P7-T1-00767,T1,Musculo-Skeletal System,bone_diseases,H,MCQ,null,null,Tuberculosis of the spine is caused by a bacterium called?,Virus,Mycobacterium,Clostridium,Amoeba,Option_B,It shares a name with the lung disease.,TB of the bones/spine is caused by the bacterium Mycobacterium tuberculosis.,,"[""P7"",""Science"",""Tuberculosis""]",,,,
SCI-P7-T1-00768,T1,Musculo-Skeletal System,bone_diseases,M,MCQ,null,null,What is a common sign of Tuberculosis of the spine?,Blinking eyes,A lump growing on the spine,Hair loss,Bowlegs,Option_B,It affects the backbone's shape.,A physical lump on the back and persistent backache are signs of spinal TB.,,"[""P7"",""Science"",""Tuberculosis""]",,,,
SCI-P7-T1-00769,T1,Musculo-Skeletal System,bone_diseases,E,MCQ,null,null,Which disease is caused by bacteria found in the soil entering through cuts?,Polio,Rickets,Tetanus,Scurvy,Option_C,It makes muscles very stiff.,Tetanus bacteria (Clostridium tetani) live in the soil and enter via open wounds.,,"[""P7"",""Science"",""Tetanus""]",,,,
SCI-P7-T1-00770,T1,Musculo-Skeletal System,bone_diseases,H,MCQ,null,null,Which vaccine prevents Tetanus?,BCG,Polio vaccine,DPT vaccine,Vitamin D,Option_C,It is a triple vaccine.,"The DPT (Diphtheria, Pertussis, Tetanus) vaccine protects against Tetanus.",,"[""P7"",""Science"",""Vaccines""]",,,,
SCI-P7-T1-00771,T1,Musculo-Skeletal System,bone_diseases,M,MCQ,null,null,Which disease causes a person to lose feeling in parts of their skin?,Arthritis,Leprosy,Polio,Tuberculosis,Option_B,It is an infectious bacterial disease.,A key symptom of Leprosy is the loss of sensation in the skin.,,"[""P7"",""Science"",""Leprosy""]",,,,
SCI-P7-T1-00772,T1,Musculo-Skeletal System,bone_diseases,M,MCQ,null,null,How can TB of the bones be spread to humans from animals?,By touching a dog,By drinking unboiled milk from an infected cow,By eating grass,By sleeping,Option_B,Milk must be boiled or pasteurized.,TB bacteria can be found in the milk of infected cows.,,"[""P7"",""Science"",""Tuberculosis""]",,,,
SCI-P7-T1-00773,T1,Musculo-Skeletal System,bone_diseases,H,MCQ,null,null,What is the adult version of Rickets called?,Osteomalacia,Osteoporosis,Arthritis,Cancer,Option_A,It starts with 'Osteo'.,"Osteomalacia is the lack of Vitamin D and calcium in adults, leading to fragile bones.",,"[""P7"",""Science"",""Osteomalacia""]",,,,
SCI-P7-T1-00774,T1,Musculo-Skeletal System,bone_diseases,M,MCQ,null,null,Which disease is characterized by 'stiff muscles all over the body'?,Leprosy,Tetanus,Rickets,Bone Cancer,Option_B,It is caused by germs in wounds.,Tetanus causes painful muscle spasms and stiffness (lockjaw).,,"[""P7"",""Science"",""Tetanus""]",,,,
SCI-P7-T1-00775,T1,Musculo-Skeletal System,bone_diseases,E,MCQ,null,null,"To prevent Polio, we should always drink ______ water?",Cold,Boiled,Salty,River,Option_B,Boiling kills the virus.,Boiling water is a primary way to prevent the spread of water-borne polio germs.,,"[""P7"",""Science"",""Polio""]",,,,
SCI-P7-T1-00776,T1,Musculo-Skeletal System,bone_diseases,M,MCQ,null,null,Which mineral deficiency leads to poor teeth formation and weak bones?,Iron,Iodine,Calcium,Sodium,Option_C,Found in milk and fish.,Calcium and phosphorus are essential for building strong bone tissue.,,"[""P7"",""Science"",""Minerals""]",,,,
SCI-P7-T1-00777,T1,Musculo-Skeletal System,bone_diseases,H,MCQ,null,null,The BCG vaccine is given to prevent which disease?,Polio,Tetanus,Tuberculosis,Cancer,Option_C,It is given on the right upper arm at birth.,BCG (Bacillus Calmette-Guérin) is the vaccine for Tuberculosis.,,"[""P7"",""Science"",""Vaccines""]",,,,
SCI-P7-T1-00778,T1,Musculo-Skeletal System,bone_diseases,H,MCQ,null,null,What is the scientific name for the bacteria that cause Tetanus?,Mycobacterium,Clostridium tetani,Polio virus,Arachnid,Option_B,Look at the name carefully.,Tetanus is caused by Clostridium tetani.,,"[""P7"",""Science"",""Tetanus""]",,,,
SCI-P7-T1-00779,T1,Musculo-Skeletal System,bone_diseases,E,MCQ,null,null,Which disease causes the shortening of fingers and toes if not treated?,Rickets,Polio,Leprosy,Arthritis,Option_C,It affects the extremities of the body.,Leprosy can cause physical deformities like shortened fingers.,,"[""P7"",""Science"",""Leprosy""]",,,,
SCI-P7-T1-00780,T1,Musculo-Skeletal System,bone_diseases,M,MCQ,null,null,Why is Polio called a disease of the limbs?,Because it only affects the arms,Because it weakens or paralyses leg muscles,Because it makes limbs grow longer,It only affects fingernails,Option_B,Paralysis leads to lameness.,"Polio virus attacks nerves, leading to muscle weakness or paralysis in the limbs.",,"[""P7"",""Science"",""Polio""]",,,,
SCI-P7-T1-00781,T1,Musculo-Skeletal System,bone_diseases,H,MCQ,null,null,Which disease is an inherited condition where voluntary muscles progressively weaken?,Osteoporosis,Muscular dystrophy,Polio,Rickets,Option_B,Check the P.7 Tekule notes page 18.,Muscular dystrophy is a group of inherited diseases that weaken muscles.,,"[""P7"",""Science"",""Muscles""]",,,,
SCI-P7-T1-00782,T1,Musculo-Skeletal System,bone_diseases,M,MCQ,null,null,"Inflammation, pain, and stiffness of the joints is called?",Rickets,Polio,Arthritis,Leprosy,Option_C,Common in older people or after injury.,Arthritis is the disease characterized by painful and stiff joints.,,"[""P7"",""Science"",""Arthritis""]",,,,
SCI-P7-T1-00783,T1,Musculo-Skeletal System,bone_diseases,H,MCQ,null,null,"Which disease is caused by thinning of bones due to hormone imbalance, especially in women?",Osteoporosis,Osteomalacia,Arthritis,Bone Cancer,Option_A,Bones become very brittle.,Osteoporosis involves a loss of bone mineral density and tissue.,,"[""P7"",""Science"",""Osteoporosis""]",,,,
SCI-P7-T1-00784,T1,Musculo-Skeletal System,bone_diseases,E,MCQ,null,null,A person with Rickets should eat more foods rich in?,Sugar,Vitamin D and Calcium,Fats,Salt,Option_B,These nutrients fix the deficiency.,Vitamin D from sun/food and calcium from milk are the cure/prevention.,,"[""P7"",""Science"",""Rickets""]",,,,
SCI-P7-T1-00785,T1,Musculo-Skeletal System,bone_diseases,M,MCQ,null,null,What is a symptom of Leprosy affecting the skin?,Itching,Loss of feeling (numbness),Hair growth,Turning green,Option_B,The nerves in the skin are damaged.,A major sign of leprosy is the loss of sensation in skin patches.,,"[""P7"",""Science"",""Leprosy""]",,,,
